loss,accuracy
132.284,0.000
76.449,0.000
33.022,0.000
20.330,0.000
12.935,0.000
10.044,0.000
8.896,0.000
7.917,0.000
7.316,0.004
7.005,0.004
6.848,0.008
6.805,0.008
6.656,0.000
6.567,0.004
6.554,0.008
6.476,0.012
6.433,0.004
6.362,0.012
6.323,0.004
6.137,0.000
6.271,0.004
6.293,0.000
6.172,0.008
6.218,0.004
6.081,0.012
6.022,0.016
5.971,0.004
5.988,0.012
6.049,0.004
5.914,0.004
6.017,0.004
5.745,0.012
5.931,0.000
5.786,0.004
5.745,0.020
5.658,0.027
5.631,0.012
5.599,0.000
5.608,0.004
5.666,0.012
5.555,0.016
5.494,0.004
5.423,0.012
5.557,0.012
5.482,0.008
5.478,0.020
5.420,0.000
5.483,0.016
5.392,0.004
5.440,0.012
5.451,0.000
5.397,0.016
5.271,0.008
5.464,0.008
5.402,0.008
5.385,0.008
5.363,0.016
5.400,0.008
5.282,0.004
5.313,0.008
5.258,0.016
5.290,0.008
5.283,0.016
5.286,0.016
5.398,0.031
5.340,0.008
5.235,0.027
5.315,0.008
5.328,0.020
5.279,0.008
5.332,0.020
5.265,0.004
5.290,0.023
5.269,0.023
5.227,0.020
5.198,0.023
5.219,0.023
5.224,0.035
5.179,0.020
5.267,0.016
5.228,0.016
5.259,0.016
5.229,0.023
5.225,0.020
5.168,0.016
5.169,0.035
5.197,0.023
5.365,0.016
5.219,0.012
5.271,0.008
5.191,0.039
5.260,0.012
5.097,0.012
5.141,0.043
5.264,0.043
5.060,0.027
5.127,0.012
5.170,0.035
5.160,0.023
5.104,0.035
5.315,0.016
5.143,0.023
5.108,0.027
5.003,0.027
5.136,0.023
5.130,0.016
5.214,0.023
5.134,0.012
5.245,0.027
5.215,0.023
5.197,0.031
5.140,0.016
5.216,0.008
5.144,0.020
5.156,0.031
5.110,0.023
5.251,0.008
5.279,0.031
5.199,0.012
5.316,0.012
5.208,0.039
5.055,0.020
5.216,0.012
5.180,0.023
5.264,0.020
5.152,0.035
5.073,0.016
5.082,0.020
5.183,0.023
5.172,0.027
5.147,0.012
5.042,0.031
5.115,0.039
5.016,0.027
5.127,0.016
5.004,0.020
5.105,0.031
5.073,0.012
5.202,0.008
5.043,0.020
5.007,0.027
4.976,0.035
5.079,0.031
5.088,0.023
5.045,0.023
5.145,0.027
5.182,0.020
5.082,0.027
5.177,0.027
5.063,0.035
5.065,0.008
5.037,0.020
5.211,0.004
5.088,0.027
5.076,0.039
5.118,0.020
5.144,0.031
5.028,0.035
5.069,0.020
5.094,0.012
5.039,0.043
4.990,0.020
4.994,0.035
5.206,0.012
5.305,0.027
5.127,0.020
5.228,0.012
5.101,0.023
5.175,0.039
5.082,0.043
5.215,0.039
5.176,0.031
5.117,0.020
5.108,0.031
5.130,0.016
5.065,0.016
4.986,0.055
5.060,0.027
5.046,0.039
4.983,0.031
4.983,0.031
5.016,0.027
5.089,0.035
5.079,0.023
5.149,0.035
5.130,0.020
5.124,0.027
4.996,0.023
5.120,0.039
5.020,0.023
5.085,0.039
5.038,0.043
5.283,0.047
5.077,0.016
5.119,0.043
5.116,0.020
4.899,0.043
4.927,0.031
5.042,0.020
5.057,0.031
5.000,0.039
5.019,0.023
5.145,0.035
5.129,0.027
5.135,0.035
5.103,0.043
5.121,0.020
5.161,0.023
4.930,0.023
5.020,0.035
5.143,0.031
5.042,0.031
4.919,0.047
5.067,0.035
4.913,0.043
4.987,0.020
5.077,0.043
5.107,0.016
5.034,0.023
5.100,0.023
4.854,0.055
4.891,0.023
4.990,0.043
5.063,0.047
4.951,0.047
4.997,0.035
4.995,0.020
4.993,0.023
5.110,0.043
5.077,0.027
4.889,0.035
4.852,0.035
5.110,0.023
5.017,0.059
5.022,0.035
5.215,0.031
4.858,0.043
4.922,0.039
5.141,0.020
5.088,0.027
5.031,0.039
5.154,0.031
4.875,0.066
5.072,0.059
5.073,0.035
4.891,0.066
5.032,0.043
5.051,0.066
5.082,0.055
5.166,0.023
4.924,0.043
4.966,0.031
5.140,0.023
4.965,0.039
5.019,0.023
5.085,0.035
5.053,0.035
5.035,0.023
5.051,0.059
4.921,0.047
5.066,0.035
5.112,0.023
4.962,0.039
4.836,0.047
4.944,0.039
5.005,0.039
5.065,0.027
5.168,0.043
4.961,0.023
4.953,0.039
5.093,0.023
4.911,0.055
5.008,0.043
4.996,0.035
4.876,0.070
4.961,0.055
5.141,0.031
4.833,0.074
4.940,0.039
4.874,0.074
4.988,0.051
4.870,0.055
5.088,0.023
5.004,0.043
5.009,0.051
5.113,0.059
5.040,0.031
4.934,0.070
4.986,0.020
5.137,0.039
5.271,0.027
5.136,0.043
5.032,0.059
5.072,0.059
4.983,0.035
5.164,0.031
4.982,0.055
5.068,0.062
5.170,0.043
5.040,0.039
4.866,0.043
5.079,0.047
5.112,0.051
4.942,0.059
5.151,0.035
5.027,0.031
5.011,0.031
5.149,0.043
4.974,0.047
5.120,0.023
5.206,0.027
5.106,0.055
5.150,0.055
4.986,0.035
5.038,0.051
5.003,0.035
5.044,0.039
5.032,0.023
5.023,0.039
5.180,0.035
5.064,0.016
4.988,0.062
4.977,0.055
5.133,0.027
4.961,0.035
4.986,0.062
5.078,0.027
5.234,0.039
4.989,0.031
4.991,0.062
4.966,0.027
5.212,0.059
5.017,0.035
5.035,0.051
5.008,0.051
5.067,0.039
5.022,0.035
4.895,0.062
4.932,0.047
4.846,0.066
5.060,0.055
4.970,0.055
5.102,0.023
5.115,0.035
5.090,0.062
4.947,0.043
5.118,0.051
5.119,0.027
5.268,0.035
5.159,0.027
4.905,0.070
5.125,0.031
5.101,0.066
5.067,0.070
5.024,0.062
5.093,0.035
5.040,0.059
4.913,0.051
5.053,0.043
5.039,0.043
5.060,0.047
4.999,0.035
5.000,0.062
5.089,0.051
4.945,0.051
4.973,0.035
5.087,0.051
5.198,0.031
5.060,0.043
4.995,0.082
4.993,0.055
5.172,0.039
5.041,0.051
4.925,0.078
5.084,0.047
5.028,0.062
5.138,0.016
4.976,0.062
4.949,0.051
5.096,0.047
4.812,0.062
4.898,0.062
4.819,0.055
5.178,0.043
5.197,0.059
4.989,0.039
5.051,0.039
4.913,0.070
5.119,0.051
4.990,0.039
5.079,0.039
5.004,0.031
5.049,0.047
5.143,0.016
5.110,0.027
5.016,0.020
5.174,0.023
5.174,0.039
5.165,0.047
4.952,0.027
5.222,0.027
4.900,0.055
5.139,0.035
4.961,0.066
5.018,0.051
5.167,0.035
4.999,0.066
4.881,0.066
4.954,0.059
5.064,0.047
4.880,0.039
5.021,0.090
5.051,0.055
4.886,0.039
5.007,0.055
5.063,0.051
5.152,0.059
4.863,0.039
4.949,0.051
5.056,0.074
4.997,0.059
4.970,0.070
5.062,0.035
5.085,0.051
5.069,0.039
5.016,0.055
5.009,0.051
5.230,0.035
5.100,0.023
